Record_ID,CPSE,Material_Code,Raw_Description,UOM,Category,Standard,Material,Grade,Size,Specification,Application,Source_System,Legacy_Status,Description_Language,Data_Quality_Flag,Expected_Demo_Label
1,CPSE-A,MAT-A-0001,Hex Bolt M10 x 50 SS304,EA,Fasteners,IS 1367,Stainless Steel,SS304,M10,50 mm,General machinery,SAP,ACTIVE,EN,,G001
2,CPSE-B,MAT-B-0001,HEXAGONAL BOLT 10MM X 50MM SS 304,NOS,Fastener,IS1367,Stainless Steel,SS304,10 mm,50mm,General machinery,Oracle ERP,ACTIVE,EN,ABBREVIATION,G001
3,CPSE-C,MAT-C-0001,Hex HD Bolt M10 50 SS304,PCS,Bolts,IS 1367,SS,304,M10,50,General machinery,SAP,ACTIVE,EN,UOM_VARIATION,G001
4,CPSE-A,MAT-A-0002,Hex Bolt M10 x 50 SS316,EA,Fasteners,IS 1367,Stainless Steel,SS316,M10,50 mm,Corrosive environment,SAP,ACTIVE,EN,,
5,CPSE-B,MAT-B-0002,Mild Steel Plate 10mm 2000 x 1000 IS2062,KG,Plates,IS 2062,Mild Steel,E250,10 mm,2000 x 1000 mm,Structural fabrication,Oracle ERP,ACTIVE,EN,,G002
6,CPSE-C,MAT-C-0002,MS PLT 10 MM THK 2M X 1M,KG,Steel Plate,IS2062,Mild Steel,E250,10 mm,2000 x 1000 mm,Structural fabrication,SAP,ACTIVE,EN,ABBREVIATION,G002
7,CPSE-A,MAT-A-0003,M.S. Plate 12 mm x 2500 x 1250 E350,KG,Plates,IS 2062,Mild Steel,E350,12 mm,2500 x 1250 mm,Structural fabrication,SAP,ACTIVE,EN,ABBREVIATION,G003
8,CPSE-B,MAT-B-0003,MS PLATE 12MM 2500MM X 1250MM E350,KG,Steel Plates,IS2062,MS,E350,12 mm,2500 x 1250 mm,Structural fabrication,Oracle ERP,ACTIVE,EN,ABBREVIATION,G003
9,CPSE-C,MAT-C-0003,Carbon Steel Pipe 2 inch Sch 40 ASTM A106,M,Pipes,ASTM A106,Carbon Steel,Grade B,2 in,Schedule 40,Steam service,SAP,ACTIVE,EN,,G004
10,CPSE-A,MAT-A-0004,CS PIPE 50NB SCH40 A106 GR.B,M,Piping,ASTM A106,Carbon Steel,Gr.B,50 NB,Sch 40,Steam service,SAP,ACTIVE,EN,,G004
11,CPSE-B,MAT-B-0004,Carbon Steel Pipe 50 NB Sch 80 ASTM A106 Gr B,M,Pipes,ASTM A106,Carbon Steel,Grade B,50 NB,Schedule 80,High pressure service,Oracle ERP,ACTIVE,EN,,
12,CPSE-C,MAT-C-0004,SS Pipe 2in Sch40 ASTM A312 TP304,M,Pipes,ASTM A312,Stainless Steel,TP304,2 in,Sch 40,Process line,SAP,ACTIVE,EN,,
13,CPSE-A,MAT-A-0005,Stainless Steel Pipe 50NB SCH40 TP304,M,Piping,ASTM A312,SS,304,50 NB,Sch40,Process line,SAP,ACTIVE,EN,,G005
